F 	Amp.mittel 	Amp.std 	Amp.var 	Phi-mittel 	Phi-std 	Phi-var
913.2	18.327	0.406	0.165	1.975	0.02	0
913.3	17.936	0.496	0.246	1.987	0.025	0.001
913.4	17.858	0.431	0.186	2.004	0.028	0.001
913.5	17.825	0.155	0.024	2.027	0.019	0
913.6	17.472	0.42	0.176	2.024	0.031	0.001
913.7	17.583	0.483	0.234	2.05	0.027	0.001
913.8	17.178	0.365	0.133	2.055	0.011	0
913.9	17.068	0.304	0.092	2.062	0.005	0
914	17.06	0.392	0.154	2.079	0.023	0.001
914.1	16.841	0.577	0.333	2.086	0.021	0
914.2	16.548	0.463	0.214	2.103	0.029	0.001
914.3	16.323	0.358	0.128	2.104	0.023	0.001
914.4	16.15	0.116	0.013	2.093	0.012	0
914.5	16.228	0.213	0.045	2.1	0.021	0
914.6	16.213	0.232	0.054	2.105	0.027	0.001
914.7	15.802	0.439	0.193	2.117	0.031	0.001
914.8	15.636	0.288	0.083	2.153	0.03	0.001
914.9	15.634	0.36	0.129	2.153	0.027	0.001
915	15.647	0.257	0.066	2.16	0.025	0.001
915.1	15.622	0.341	0.116	2.181	0.021	0
915.2	15.539	0.444	0.197	2.185	0.018	0
915.3	15.514	0.736	0.541	2.182	0.029	0.001
915.4	15.076	0.43	0.185	2.198	0.023	0.001
915.5	15.032	0.294	0.086	2.217	0.017	0
915.6	14.882	0.288	0.083	2.221	0.015	0
915.7	14.685	0.396	0.157	2.231	0.021	0
915.8	14.41	0.35	0.122	2.246	0.019	0
915.9	14.213	0	0	2.257	0	0
916	14.213	0	0	2.257	0	0
916.1	14.245	0.146	0.021	2.259	0.012	0
916.2	14.175	0.17	0.029	2.259	0.011	0
916.3	13.719	0.371	0.138	2.287	0.023	0.001
916.4	13.53	0.234	0.055	2.299	0.014	0
916.5	13.454	0	0	2.304	0	0
916.6	13.454	0	0	2.304	0	0
916.7	13.488	0.154	0.024	2.306	0.012	0
916.8	13.345	0.266	0.071	2.311	0.019	0
916.9	13.27	0.395	0.156	2.322	0.026	0.001
917	12.909	0.322	0.104	2.343	0.023	0.001
917.1	12.764	0.162	0.026	2.354	0.012	0
917.2	12.728	0	0	2.356	0	0
917.3	12.728	0	0	2.356	0	0
917.4	12.728	0	0	2.356	0	0
917.5	12.659	0.211	0.045	2.362	0.018	0
917.6	12.453	0.345	0.119	2.38	0.03	0.001
917.7	12.282	0.336	0.113	2.394	0.029	0.001
917.8	12.282	0.336	0.113	2.394	0.029	0.001
917.9	12.076	0.153	0.024	2.412	0.013	0
918	12.042	0	0	2.415	0	0
918.1	12.01	0.143	0.02	2.418	0.015	0
