0F 	Amp.mittel 	Amp.std 	Amp.var 	Phi-mittel 	Phi-std 	Phi-var
2495.3	0.25	0.444	0.197	0	0	0
2495.4	0.1	0.308	0.095	0	0	0
2495.5	0.05	0.224	0.05	0	0	0
2495.6	0	0	0	0	0	0
2495.7	0.05	0.224	0.05	0	0	0
2495.8	0.1	0.308	0.095	0	0	0
2495.9	0.15	0.366	0.134	0	0	0
2496	0.05	0.224	0.05	0	0	0
2496.1	0.05	0.224	0.05	0	0	0
2496.2	0.05	0.224	0.05	0	0	0
2496.3	0.1	0.308	0.095	0	0	0
2496.4	0.2	0.41	0.168	0	0	0
2496.5	0.35	0.489	0.239	0	0	0
2496.6	0.25	0.444	0.197	0	0	0
2496.7	0.15	0.366	0.134	0	0	0
2496.8	0.15	0.366	0.134	0	0	0
2496.9	0.25	0.444	0.197	0	0	0
2497	0.35	0.489	0.239	0	0	0
2497.1	0	0	0	0	0	0
2497.2	0.25	0.444	0.197	0	0	0
2497.3	0.15	0.366	0.134	0	0	0
2497.4	0.2	0.41	0.168	0	0	0
2497.5	0.35	0.489	0.239	0	0	0
2497.6	0.05	0.224	0.05	0	0	0
2497.7	0.3	0.47	0.221	0	0	0
2497.8	0.45	0.51	0.261	0	0	0
2497.9	0.25	0.444	0.197	0	0	0
2498	0.7	0.47	0.221	0	0	0
2498.1	0.1	0.308	0.095	0	0	0
2498.2	0.35	0.489	0.239	0	0	0
2498.3	0.3	0.47	0.221	0	0	0
2498.4	0.35	0.489	0.239	0	0	0
2498.5	0.35	0.489	0.239	0	0	0
2498.6	0.4	0.503	0.253	0	0	0
2498.7	0.45	0.51	0.261	0	0	0
2498.8	0.35	0.489	0.239	0	0	0
2498.9	0.45	0.51	0.261	0	0	0
2499	0.5	0.513	0.263	0	0	0
2499.1	0.45	0.51	0.261	0	0	0
2499.2	0.55	0.51	0.261	0	0	0
2499.3	0.55	0.51	0.261	0	0	0
2499.4	0.2	0.41	0.168	0	0	0
2499.5	0.4	0.503	0.253	-0.079	0.802	0.643
2499.6	0.55	0.51	0.261	0	0	0
2499.7	0.6	0.503	0.253	0	0	0
2499.8	0.65	0.489	0.239	0	0	0
2499.9	0.5	0.513	0.263	0	0	0
2500	0.5	0.513	0.263	0	0	0
2500.1	0.6	0.503	0.253	0	0	0
2500.2	0.5	0.513	0.263	0.157	0.702	0.493
2500.3	0.5	0.513	0.263	0	0	0
2500.4	0.55	0.51	0.261	0	0	0
2500.5	0.75	0.444	0.197	0	0	0
2500.6	0.45	0.51	0.261	0	0	0
2500.7	0.85	0.366	0.134	0	0	0
2500.8	0.5	0.513	0.263	0	0	0
2500.9	0.4	0.503	0.253	0	0	0
2501	0.45	0.51	0.261	0	0	0
2501.1	0.55	0.51	0.261	0	0	0
2501.2	0.4	0.503	0.253	0	0	0
2501.3	0.55	0.51	0.261	0	0	0
2501.4	0.55	0.51	0.261	0	0	0
2501.5	0.55	0.51	0.261	0	0	0
2501.6	0.9	0.308	0.095	0	0	0
2501.7	0.75	0.444	0.197	0	0	0
2501.8	0.6	0.503	0.253	0	0	0
2501.9	0.8	0.41	0.168	0	0	0
2502	0.65	0.489	0.239	0	0	0
2502.1	0.85	0.366	0.134	0	0	0
2502.2	0.75	0.444	0.197	0	0	0
2502.3	0.85	0.366	0.134	0	0	0
2502.4	0.6	0.503	0.253	0	0	0
2502.5	0.75	0.444	0.197	0	0	0
2502.6	0.85	0.366	0.134	0	0	0
2502.7	0.85	0.366	0.134	0	0	0
2502.8	0.85	0.366	0.134	0	0	0
2502.9	0.9	0.308	0.095	0	0	0
2503	0.75	0.444	0.197	0	0	0
2503.1	0.75	0.444	0.197	0	0	0
2503.2	0.85	0.366	0.134	0	0	0
2503.3	0.9	0.308	0.095	0	0	0
2503.4	1	0	0	0	0	0
2503.5	0.9	0.308	0.095	0	0	0
2503.6	0.95	0.224	0.05	0	0	0
2503.7	0.9	0.308	0.095	0	0	0
2503.8	0.9	0.308	0.095	0	0	0
2503.9	0.95	0.224	0.05	0	0	0
2504	0.9	0.308	0.095	0	0	0
2504.1	0.9	0.308	0.095	0	0	0
2504.2	0.8	0.41	0.168	0	0	0
2504.3	0.7	0.47	0.221	0	0	0
2504.4	1	0	0	0	0	0
2504.5	1	0	0	0	0	0
2504.6	0.95	0.224	0.05	0	0	0
2504.7	0.95	0.224	0.05	0	0	0
2504.8	1	0	0	0	0	0
2504.9	1	0	0	0	0	0
2505	1	0	0	0	0	0
2505.1	1	0	0	0	0	0
2505.2	1	0	0	0	0	0
2505.3	1	0	0	0	0	0
2505.4	0.95	0.224	0.05	0	0	0
2505.5	0.9	0.308	0.095	0	0	0
2505.6	1	0	0	0	0	0
2505.7	1	0	0	0	0	0
2505.8	0.85	0.366	0.134	0	0	0
2505.9	0.75	0.444	0.197	0	0	0
2506	0.8	0.41	0.168	0	0	0
2506.1	0.9	0.308	0.095	0	0	0
2506.2	1	0	0	0	0	0
2506.3	0.85	0.366	0.134	0	0	0
2506.4	0.75	0.444	0.197	0	0	0
2506.5	0.9	0.308	0.095	0	0	0
2506.6	0.9	0.308	0.095	0	0	0
2506.7	0.95	0.224	0.05	0	0	0
2506.8	1	0	0	0	0	0
2506.9	1	0	0	0	0	0
2507	0.95	0.224	0.05	0	0	0
2507.1	0.9	0.308	0.095	0	0	0
2507.2	0.8	0.41	0.168	0	0	0
2507.3	0.9	0.308	0.095	0	0	0
2507.4	0.9	0.308	0.095	0	0	0
2507.5	0.6	0.503	0.253	0	0	0
2507.6	0.7	0.47	0.221	0	0	0
2507.7	0.95	0.224	0.05	0	0	0
2507.8	0.95	0.224	0.05	0	0	0
2507.9	1	0	0	0	0	0
2508	1	0	0	0	0	0
2508.1	1	0	0	0	0	0
2508.2	1	0	0	0	0	0
2508.3	0.85	0.366	0.134	0	0	0
2508.4	1	0	0	0	0	0
2508.5	1	0	0	0	0	0
2508.6	1	0	0	0	0	0
2508.7	1	0	0	0	0	0
2508.8	0.8	0.41	0.168	0	0	0
2508.9	1	0	0	0	0	0
2509	1	0	0	0	0	0
2509.1	1	0	0	0	0	0
2509.2	1	0	0	0	0	0
2509.3	1	0	0	0	0	0
2509.4	1	0	0	0	0	0
2509.5	1	0	0	0	0	0
2509.6	1	0	0	0	0	0
2509.7	1	0	0	0	0	0
2509.8	1	0	0	0	0	0
2509.9	1	0	0	0	0	0
2510	1	0	0	0	0	0
2510.1	1	0	0	0	0	0
2510.2	0.95	0.224	0.05	0	0	0
2510.3	0.95	0.224	0.05	0	0	0
2510.4	1	0	0	0	0	0
2510.5	1	0	0	0	0	0
2510.6	1	0	0	0	0	0
2510.7	1	0	0	0	0	0
2510.8	1	0	0	0	0	0
2510.9	1	0	0	0	0	0
2511	1	0	0	0	0	0
2511.1	1	0	0	0	0	0
2511.2	0.95	0.224	0.05	0	0	0
2511.3	0.95	0.224	0.05	0	0	0
2511.4	1	0	0	0	0	0
2511.5	0.95	0.224	0.05	0	0	0
2511.6	0.95	0.224	0.05	0	0	0
2511.7	1	0	0	0	0	0
2511.8	0.9	0.308	0.095	0	0	0
2511.9	0.9	0.447	0.2	0	0	0
2512	0.871	0.386	0.149	0.118	0.384	0.148
2512.1	1	0	0	0	0	0
2512.2	1	0	0	0	0	0
2512.3	1	0	0	0	0	0
2512.4	1	0	0	0	0	0
2512.5	1	0	0	0	0	0
2512.6	1	0	0	0	0	0
2512.7	1	0	0	0	0	0
2512.8	1	0	0	0	0	0
2512.9	1	0	0	0	0	0
2513	1	0	0	0	0	0
2513.1	1	0	0	0	0	0
2513.2	1	0	0	0	0	0
2513.3	1	0	0	0	0	0
2513.4	1	0	0	0	0	0
2513.5	1	0	0	0	0	0
2513.6	1	0	0	0	0	0
2513.7	1	0	0	0	0	0
2513.8	1	0	0	0	0	0
2513.9	1	0	0	0	0	0
2514	1	0	0	0	0	0
2514.1	1	0	0	0	0	0
2514.2	1	0	0	0	0	0
2514.3	1	0	0	0	0	0
2514.4	1	0	0	0	0	0
2514.5	1	0	0	0	0	0
2514.6	1	0	0	0	0	0
2514.7	1	0	0	0	0	0
2514.8	1	0	0	0	0	0
2514.9	1.05	0.224	0.05	0	0	0
2515	1	0	0	0	0	0
2515.1	0.95	0.394	0.155	0	0	0
2515.2	0.921	0.461	0.213	0.039	0.176	0.031
2515.3	1	0	0	0	0	0
2515.4	1	0	0	0	0	0
2515.5	1	0	0	0	0	0
2515.6	1	0	0	0	0	0
2515.7	1	0	0	0	0	0
2515.8	1	0	0	0	0	0
2515.9	1	0	0	0	0	0
2516	1	0	0	0	0	0
2516.1	1	0	0	0	0	0
2516.2	1	0	0	0	0	0
2516.3	1	0	0	0	0	0
2516.4	1	0	0	0	0	0
2516.5	1	0	0	0	0	0
2516.6	1	0	0	0	0	0
2516.7	1	0	0	0	0	0
2516.8	1	0	0	0	0	0
2516.9	1	0	0	0	0	0
2517	1	0	0	0	0	0
2517.1	1	0	0	0	0	0
2517.2	1	0	0	0	0	0
2517.3	1	0	0	0	0	0
2517.4	1	0	0	0	0	0
2517.5	1	0	0	0	0	0
2517.6	1	0	0	0	0	0
2517.7	1	0	0	0	0	0
2517.8	1	0	0	0	0	0
2517.9	1	0	0	0	0	0
2518	1	0	0	0	0	0
2518.1	1	0	0	0	0	0
2518.2	0.971	0.521	0.271	0.039	0.176	0.031
2518.3	1	0	0	0	0	0
2518.4	1	0	0	0	0	0
2518.5	1	0	0	0	0	0
2518.6	1	0	0	0	0	0
2518.7	1	0	0	0	0	0
2518.8	1	0	0	0	0	0
2518.9	1	0	0	0	0	0
2519	1	0	0	0	0	0
2519.1	1	0	0	0	0	0
2519.2	1.05	0.224	0.05	0	0	0
2519.3	1	0	0	0	0	0
2519.4	1	0	0	0	0	0
2519.5	1	0	0	0	0	0
2519.6	1	0	0	0	0	0
