F Amp.mittel Amp.std Amp.var Phi-mittel Phi-std Phi-var T-mittel T-std T-var
136.000	125.128	1.198	1.436	0.781	0.026	0.001	25.306	40.870	1670.363
136.000	126.583	1.279	1.636	0.783	0.013	0.000	25.306	40.870	1670.363
136.000	127.806	1.490	2.220	0.787	0.023	0.001	25.306	40.870	1670.363
136.000	129.518	1.259	1.586	0.791	0.027	0.001	25.306	40.870	1670.363
136.000	131.491	1.765	3.116	0.798	0.047	0.002	25.306	40.870	1670.363
137.000	133.966	1.433	2.053	0.806	0.059	0.004	25.306	40.870	1670.363
137.000	135.490	1.431	2.048	0.802	0.073	0.005	25.306	40.870	1670.363
137.000	137.497	1.602	2.567	0.784	0.081	0.006	25.306	40.870	1670.363
137.000	139.491	0.975	0.951	0.810	0.109	0.012	25.306	40.870	1670.363
137.000	141.976	1.495	2.236	0.773	0.111	0.012	25.306	40.870	1670.363
138.000	144.443	1.244	1.548	0.760	0.123	0.015	25.306	40.870	1670.363
138.000	146.174	1.404	1.970	0.847	0.142	0.020	25.306	40.870	1670.363
138.000	148.575	1.217	1.481	0.819	0.166	0.028	25.306	40.870	1670.363
138.000	150.219	1.355	1.837	0.766	0.198	0.039	25.306	40.870	1670.363
138.000	153.078	1.268	1.608	0.784	0.210	0.044	25.306	40.870	1670.363
139.000	155.289	1.332	1.775	0.827	0.216	0.047	25.306	40.870	1670.363
139.000	157.260	1.054	1.111	0.763	0.242	0.058	25.306	40.870	1670.363
139.000	158.545	1.301	1.692	0.679	0.254	0.064	25.306	40.870	1670.363
139.000	161.495	1.987	3.947	0.674	0.265	0.070	25.306	40.870	1670.363
139.000	164.480	1.420	2.018	0.787	0.325	0.105	25.306	40.870	1670.363
140.000	165.908	1.418	2.011	0.883	0.325	0.106	25.306	40.870	1670.363
140.000	168.410	1.183	1.399	0.782	0.356	0.126	25.306	40.870	1670.363
140.000	169.887	1.022	1.045	0.711	0.379	0.143	25.306	40.870	1670.363
140.000	171.617	1.420	2.017	0.785	0.404	0.163	25.306	40.870	1670.363
140.000	173.398	1.080	1.167	0.656	0.422	0.178	25.306	40.870	1670.363
